objectid,name,ccr,area_sq_mi,study_regi,fullname,type,ccr_int,shortname,acres,hectares,shape_are,shape_len,geometry
1,Pyramid Point SMCA,Section 632 (b) (1),13.9935561047,NCSR,Pyramid Point State Marine Conservation Area,SMCA,1,Pyramid Point,8955.91152252,3624.32880634,65634640.4609375,36841.2099563691,"list(list(c(399967.139518002, 393506.014964143, 393491.673607185, 393462.227553589, 393434.39683126, 393408.191398618, 393383.619317938, 393360.687503449, 393339.402598988, 393319.771769239, 393305.791967518, 393280.140276957, 393227.801498524, 393176.895321012, 393149.166234364, 393128.19150509, 393061.252288608, 392995.546743518, 392931.09546538, 392867.918139182, 392806.033345162, 392745.460656923, 392686.217608224, 392628.323689285, 392571.795520652, 392516.65049067, 392462.904912343, 392410.575558617, 
392359.678334746, 392310.230054509, 392262.24381592, 392215.734925728, 392170.717771496, 392127.119453517, 392085.126102793, 392044.66304113, 392005.744412255, 391968.381529775, 391932.585258704, 391898.366876929, 391865.73737732, 391834.704791233, 391805.281026585, 391777.473237422, 391751.290140884, 391726.740833557, 391703.832085942, 391682.570949796, 391665.664325769, 391628.086604069, 391535.070230147, 391442.543724799, 391350.536286701, 391259.075256663, 391168.189774993, 391077.907201316, 
390988.253693895, 390899.258368209, 390810.947541187, 390723.347329951, 390636.485786265, 390550.38918892, 390465.082502787, 390380.592874425, 390296.946400732, 390214.166992239, 390132.280850849, 390051.313750193, 390007.985780596, 389992.922264495, 389906.064933108, 389830.198475268, 395620.317771876, 397780.892056382, 399602.896727598, 399619.033230209, 399633.895537411, 399645.703538116, 399669.272583987, 399684.486514327, 399697.909862022, 399710.677127812, 399725.317012018, 399745.750657393, 
399755.487793478, 399764.481050158, 399772.977850094, 399781.569909451, 399789.947176399, 399797.908326591, 399805.292642741, 399812.086101542, 399818.312474228, 399824.949179513, 399830.459121848, 399835.030474323, 399840.800886801, 399845.803750317, 399843.331909307, 399838.472186258, 399837.269937422, 399835.81383748, 399837.948146054, 399839.322846321, 399835.659826488, 399832.756564213, 399833.811553291, 399834.874416847, 399837.576441966, 399844.788338555, 399847.897952346, 399851.367656805, 
399856.14880924, 399861.449781008, 399867.630256226, 399871.347845192, 399875.177221457, 399875.5300447, 399877.806943332, 399880.452574119, 399883.130665346, 399888.487450961, 399894.620072537, 399906.478163008, 399921.830470441, 399934.976154043, 399950.720630781, 399969.263621797, 399991.476865486, 400013.106092836, 400031.056816111, 400043.650119465, 400055.683892026, 400067.909634561, 400078.407915313, 400084.460187682, 400089.448915392, 400091.253073229, 400094.932862252, 400099.69708668, 400103.829697489, 
400109.45749879, 400114.980815801, 400121.415598495, 400129.066039046, 400135.317134325, 400141.808390664, 400146.724209893, 400152.279596019, 400155.66798318, 400160.439739279, 400164.659792215, 400168.312066899, 400170.812684431, 400173.75322074, 400178.004677986, 400178.038133598, 400181.71231187, 400180.309992633, 400176.165114981, 400176.111842576, 400176.086153749, 400173.336955942, 400168.96841242, 400162.329200665, 400157.161506114, 400155.496252558, 400155.854229327, 400157.786489822, 400156.60957441, 
400153.576920043, 400149.48831843, 400143.320449785, 400135.032956147, 400127.225400571, 400123.064887596, 400123.485651142, 400124.649672173, 400122.007038357, 400117.4453641, 400113.724820187, 400103.757184782, 400100.076565866, 400097.795189462, 400096.241603429, 400095.776051812, 400096.237364242, 400099.633226165, 400100.750015799, 400106.913147349, 400111.853548684, 400114.266297665, 400117.294156153, 400119.356199393, 400115.927617849, 400104.955269103, 400095.509510595, 400088.638354522, 
400086.56557173, 400082.723822837, 400078.946994855, 400070.627620017, 400064.650677321, 400060.521697027, 400056.952332224, 400054.5986227, 400051.357563186, 400048.347780493, 400045.458371348, 400041.881305235, 400039.593816831, 400035.297188206, 400020.754490681, 400004.531734451, 399996.900715171, 399985.478982105, 399967.774051452, 399967.139518002, 4645855.16493296, 4645949.1259972, 4645991.53327299, 4646083.89754461, 4646176.76087761, 4646270.09592999, 4646363.87316492, 4646458.06603252, 4646552.64494781, 
4646647.58039471, 4646720.87876455, 4646759.75659059, 4646841.3584264, 4646923.86083309, 4646970.19846204, 4646991.67340076, 4647061.79712983, 4647133.07824141, 4647205.49529027, 4647279.02588078, 4647353.64859845, 4647429.33897304, 4647506.0756808, 4647583.83403116, 4647662.59175105, 4647742.32336719, 4647823.00631597, 4647904.61417097, 4647987.12237413, 4648070.5075413, 4648154.74197008, 4648239.80141164, 4648325.66007494, 4648412.05984364, 4648499.43695764, 4648587.53280794, 4648676.32087211, 
4648765.77467248, 4648855.86774005, 4648946.57152499, 4649037.85844788, 4649129.70208877, 4649222.07166977, 4649314.9420492, 4649408.28331796, 4649502.0661567, 4649596.26499146, 4649690.84838846, 4649772.19593161, 4649782.73182647, 4649810.04332427, 4649838.9756354, 4649869.51678391, 4649901.65993602, 4649935.39437246, 4649970.70984383, 4650007.59552388, 4650046.0394266, 4650086.03160885, 4650127.55894034, 4650170.60840735, 4650215.16798549, 4650261.22262897, 4650308.75896196, 4650357.76325242, 4650408.22009534, 
4650460.11323326, 4650513.42774848, 4650542.79996251, 4650550.07659738, 4650593.13494707, 4650632.40952788, 4650548.471674, 4650515.33915485, 4650487.27943673, 4650450.77012229, 4650413.3069138, 4650380.78846748, 4650326.09096049, 4650285.72195129, 4650252.19219826, 4650214.13509251, 4650181.18460723, 4650128.23590049, 4650094.32876908, 4650058.80825233, 4650013.4623451, 4649956.18783788, 4649914.81547461, 4649869.71849422, 4649808.69531658, 4649758.52517558, 4649718.41305829, 4649649.94345767, 4649604.50676735, 
4649566.73069421, 4649524.21866645, 4649480.8877543, 4649466.49486595, 4649459.1198904, 4649457.2955044, 4649444.25920444, 4649434.77906099, 4649424.21529367, 4649414.29353236, 4649405.45544533, 4649396.73790505, 4649387.75553551, 4649376.96696653, 4649365.52046073, 4649349.97180008, 4649340.00205791, 4649330.33751491, 4649320.9538371, 4649308.68054433, 4649299.24854175, 4649286.108177, 4649283.80665705, 4649268.95413763, 4649251.27033462, 4649241.27650426, 4649230.038656, 4649219.35456551, 4649211.49631382, 
4649201.62349775, 4649194.8649875, 4649189.51145146, 4649178.94021438, 4649169.27638153, 4649152.70093006, 4649135.48331816, 4649120.75385987, 4649107.06794322, 4649095.77416403, 4649080.45060554, 4649063.66601507, 4649047.11415727, 4649039.14439625, 4649022.88832809, 4648996.25432496, 4648973.04790222, 4648944.05404627, 4648909.75415227, 4648871.50492588, 4648836.73968614, 4648804.58307017, 4648773.22928721, 4648741.56237795, 4648706.20306562, 4648672.6336425, 4648636.98536942, 4648602.11561341, 
4648568.55438223, 4648529.39014406, 4648493.15589442, 4648448.47710897, 4648448.07737476, 4648404.31205214, 4648354.42353273, 4648241.88790082, 4648226.44538814, 4648218.98455704, 4648185.81379201, 4648146.70540664, 4648112.8305893, 4648082.71248754, 4648050.31492426, 4648020.89558626, 4647974.29011298, 4647951.98279702, 4647921.13446518, 4647881.50443937, 4647840.75049501, 4647791.44766241, 4647743.75031595, 4647706.50445344, 4647657.46699792, 4647601.29355009, 4647539.96653599, 4647480.96743631, 
4647446.65159721, 4647382.9804798, 4647347.34020625, 4647309.09123802, 4647272.98550037, 4647244.60188082, 4647202.9897895, 4647160.40656374, 4647114.57232061, 4647076.58064605, 4647052.86906338, 4647016.61913652, 4646968.7222182, 4646931.6329302, 4646861.61694939, 4646834.71892125, 4646806.32694653, 4646771.38514668, 4646743.74818794, 4646687.15779274, 4646645.94710534, 4646597.70470682, 4646541.8447119, 4646494.79060317, 4646446.69292008, 4646402.07898539, 4646360.61966295, 4646311.47868279, 4646267.11364525, 
4646236.11704916, 4646216.29492033, 4646174.80361259, 4646096.41211429, 4646003.65239328, 4645967.62735348, 4645925.91909146, 4645859.41799076, 4645855.16493296)))"
2,Point St. George Reef Offshore SMCA,Section 632 (b) (2),9.52324021771,NCSR,Point St. George Reef Offshore State Marine Conservation Area,SMCA,2,Point St. George Reef Offshore,6094.8979773,2466.51770233,44473990.09375,25879.5816741591,"list(list(c(381314.021027168, 384933.044046941, 384843.509862533, 380602.994354756, 380577.914909344, 380542.254076439, 380508.171840175, 380475.678399008, 380444.785592038, 380415.499397343, 380387.831984961, 380361.79003954, 380337.381568563, 380314.614431103, 380293.495511401, 380274.031547929, 380256.22723646, 380240.089633888, 380225.62310042, 380212.83147935, 380201.718496366, 380192.288793668, 380184.543840081, 380178.486412859, 380174.118931969, 380171.443016404, 380170.458023395, 380171.165685615, 
380172.044692325, 380173.959601074, 380178.049550462, 380183.830250356, 380191.299199445, 380200.452515504, 380211.289670808, 380223.807043901, 380237.999801885, 380253.864269951, 380271.395562015, 380290.588940738, 380311.436552435, 380333.934785368, 380358.074444412, 380383.849905318, 380411.252070042, 380440.272033284, 380470.902919605, 380503.134877198, 380536.957786289, 380572.360514584, 380609.333209236, 380647.864731788, 380687.942013121, 380729.55504091, 380772.688677275, 380817.331773213, 
380863.470298771, 380911.088897864, 380960.174507, 381010.712002143, 381062.68618351, 381116.079654163, 381170.878353828, 381227.0628615, 381284.619157988, 381314.021027168, 4635961.77545038, 4635902.39617319, 4630350.92310393, 4630420.61559885, 4630480.91257291, 4630571.06315787, 4630661.82152098, 4630753.16231223, 4630845.05576936, 4630937.47431229, 4631030.39033365, 4631123.77408979, 4631217.59916282, 4631311.8348275, 4631406.45461511, 4631501.42789842, 4631596.72691209, 4631692.32236679, 4631788.18442626, 
4631884.28363731, 4631980.59248417, 4632077.08031606, 4632173.71861968, 4632270.47685538, 4632367.32545867, 4632464.2360706, 4632561.17896062, 4632658.12369208, 4632702.09738926, 4632772.68448845, 4632869.54536928, 4632966.32063442, 4633062.98097027, 4633159.49478506, 4633255.83474447, 4633351.97141338, 4633447.87426496, 4633543.5150597, 4633638.86446628, 4633733.89307928, 4633828.57244009, 4633922.87342695, 4634016.76753467, 4634110.2256061, 4634203.22032855, 4634295.72245625, 4634387.70360367, 
4634479.13573481, 4634569.99252964, 4634660.2450121, 4634749.86478141, 4634838.82673014, 4634927.10169819, 4635014.66478618, 4635101.48776432, 4635187.54441851, 4635272.81007075, 4635357.25642597, 4635440.85834748, 4635523.59222065, 4635605.42975253, 4635686.34937535, 4635766.32374576, 4635845.33036631, 4635923.34405003, 4635961.77545038)))"
3,Southwest Seal Rock Special Closure,Section 632 (b) (3),0.0223448156141,NCSR,Southwest Seal Rock Special Closure,Special Closure,3,Southwest Seal Rock,14.3007388637,5.78730369155,104261.203125,1638.29610790956,"list(list(c(387819.359247055, 387820.172986185, 387822.713429724, 387823.226263896, 387822.53038997, 387821.968914197, 387818.392611534, 387817.438884448, 387816.030613799, 387814.174874111, 387811.881264091, 387801.301774082, 387797.871965289, 387793.815051305, 387789.162626073, 387783.950725917, 387778.2197269, 387772.014431154, 387765.382709747, 387758.376173056, 387751.049340598, 387743.458971763, 387735.664129864, 387727.524902455, 387719.300844812, 387711.058905254, 387702.866460895, 387694.790193617, 
387686.896171599, 387679.248724117, 387671.910151167, 387664.940424927, 387658.396447023, 387652.33146209, 387646.795127667, 387630.318145889, 387623.010512185, 387620.274451035, 387608.261432614, 387601.05359936, 387586.637940374, 387582.9779577, 387580.039979484, 387577.849201613, 387576.42451209, 387575.778058664, 387575.231978273, 387575.329714023, 387576.090364609, 387577.508556308, 387579.574006142, 387582.2715907, 387592.851130329, 387596.475083809, 387600.790805084, 387605.761033804, 387611.343417971, 
387617.489706103, 387624.147312988, 387644.132359237, 387650.434852967, 387657.053501557, 387663.943516429, 387671.058006363, 387678.348797025, 387685.766284038, 387693.260187261, 387700.779617128, 387726.071227894, 387732.561732328, 387740.642906701, 387748.633592493, 387756.469482511, 387764.087705941, 387771.427041597, 387778.428448314, 387785.035798158, 387791.195802935, 387796.859128686, 387801.980311699, 387806.517983526, 387810.435900392, 387813.702419773, 387816.291464583, 387818.182139641, 
387819.359247055, 4630044.89033283, 4630037.9166823, 4630015.4258378, 4630004.43584475, 4629952.07395834, 4629943.08062368, 4629911.11260032, 4629904.66635029, 4629898.30442117, 4629892.05912148, 4629885.96190234, 4629860.60858011, 4629853.309603, 4629846.34199731, 4629839.75954872, 4629833.61374254, 4629827.95198077, 4629822.81832417, 4629818.25262122, 4629814.29042315, 4629810.96240205, 4629808.29451002, 4629806.30730888, 4629804.99303706, 4629804.42100337, 4629804.59580623, 4629805.51608821, 4629807.17425627, 
4629809.55692667, 4629812.64457087, 4629816.41204071, 4629820.82857313, 4629825.85802505, 4629831.45955188, 4629837.58730909, 4629857.56865469, 4629867.78528322, 4629872.53810782, 4629894.93054304, 4629908.36601238, 4629935.23682732, 4629942.88925702, 4629950.84877306, 4629959.04723856, 4629967.41408834, 4629975.87730251, 4629994.06623712, 4630001.87645769, 4630009.6500537, 4630017.33030278, 4630024.86152695, 4630032.1887197, 4630057.54210579, 4630065.20890295, 4630072.50633518, 4630079.37171606, 
4630085.74600862, 4630091.57465588, 4630096.8074817, 4630111.06777143, 4630115.18345168, 4630118.76468335, 4630121.78711595, 4630124.23029826, 4630126.07759107, 4630127.3163181, 4630127.93827463, 4630127.93920591, 4630126.77949861, 4630126.43120235, 4630125.78144191, 4630124.40823853, 4630122.32256649, 4630119.5413253, 4630116.0866672, 4630111.98650937, 4630107.27370459, 4630101.98611679, 4630096.16630624, 4630089.86093611, 4630083.12084341, 4630076.00005629, 4630068.55572799, 4630060.84775002, 4630052.93808906, 
4630044.89033283), c(387681.418625291, 387688.626483205, 387707.72860876, 387726.670135011, 387731.272404733, 387731.968274555, 387728.814697893, 387697.021392895, 387677.036259819, 387666.456755309, 387667.002918157, 387681.418625291, 4629951.77327052, 4629938.33781968, 4629920.87500733, 4629923.57012382, 4629953.28538487, 4630005.64713909, 4630035.13534743, 4630036.44665074, 4630022.18643306, 4629996.83303287, 4629978.6441228, 4629951.77327052)))"
4,Castle Rock Special Closure,Section 632 (b) (4),0.053770851804,NCSR,Castle Rock Special Closure,Special Closure,4,Castle Rock,34.4134820088,13.9266420685,250489.09375,3697.97797747285,"list(list(c(396167.946987456, 396174.293872897, 396180.648615855, 396193.578111044, 396205.367916662, 396212.650024738, 396219.81322848, 396226.805355217, 396233.575933211, 396240.075677534, 396246.257674, 396253.03927932, 396259.508460038, 396265.602153744, 396271.260147948, 396272.926868702, 396279.83628071, 396286.772561015, 396293.677310071, 396300.491829398, 396307.158696136, 396330.02670263, 396337.647251695, 396345.003722481, 396352.038762551, 396358.697696305, 396364.928834413, 396370.683535501, 
396375.917253737, 396380.589229339, 396384.663235331, 396388.107494266, 396390.895191293, 396393.004702549, 396398.198194815, 396402.806082718, 396406.791285808, 396410.121847386, 396412.771223566, 396414.717906726, 396415.946464562, 396416.446930929, 396416.215251824, 396415.253495499, 396413.56918265, 396411.175862344, 396408.092819891, 396404.344762061, 396399.961665637, 396394.978766713, 396389.436105124, 396383.378079668, 396380.421540661, 396379.955673529, 396379.172314161, 396377.752129112, 
396375.705077899, 396373.045659301, 396369.132223681, 396366.250454584, 396362.876835332, 396359.033511649, 396354.745144792, 396350.039652972, 396347.44781168, 396344.185669152, 396340.279477749, 396335.760375769, 396330.664392886, 396325.032287894, 396318.909019525, 396312.343449882, 396305.388108555, 396298.098437172, 396290.532874821, 396282.751422941, 396274.816617133, 396270.295468927, 396265.211031528, 396259.604871951, 396253.522841516, 396247.014754464, 396240.133947453, 396232.936524081, 
396216.025350368, 396209.069599848, 396203.109611885, 396196.999383061, 396190.769007114, 396184.44914183, 396167.729656489, 396159.90831402, 396152.057211199, 396144.234537451, 396136.498335101, 396128.905680002, 396121.512748562, 396114.374458342, 396107.54326773, 396101.070074181, 396092.481907236, 396087.320885535, 396082.512343229, 396078.08692039, 396074.073137716, 396066.38273878, 396058.704741186, 396051.10213185, 396043.637212586, 396036.371386778, 396029.364182031, 396022.781652789, 396016.158749746, 
396009.562112029, 396003.058056241, 395981.104533287, 395973.117090638, 395965.339312587, 395957.834376146, 395950.6632804, 395943.884331285, 395937.552474833, 395931.719300382, 395926.432146602, 395921.73388611, 395917.662707955, 395911.460051674, 395899.186457784, 395888.359818126, 395884.037984969, 395880.402130605, 395877.483424964, 395875.306646714, 395873.890350029, 395873.246717505, 395872.536343743, 395873.443087961, 395874.411273622, 395878.808051793, 395880.797238742, 395883.467136974, 
395886.79715927, 395890.761302122, 395895.328511587, 395900.46344959, 395906.125898726, 395912.271737388, 395928.019048689, 395929.81345596, 395932.322899581, 395935.526346826, 395939.396887697, 395943.902134341, 395949.004135613, 395954.660148775, 395961.147018, 395965.69569705, 395970.814803668, 395976.46351215, 395982.596719233, 395989.165274631, 395996.116735334, 396003.395369901, 396010.94297875, 396018.699200355, 396026.601891051, 396044.998326885, 396056.189204983, 396082.208234884, 396095.149220533, 
396105.022861879, 396117.49824585, 396133.32825855, 396140.161862393, 396147.081088178, 396154.045387644, 396161.014248242, 396167.946987456, 4624245.70179697, 4624244.20126122, 4624244.95442849, 4624244.42745123, 4624243.10254874, 4624242.01052453, 4624240.30099155, 4624237.9865376, 4624235.08374359, 4624231.61378636, 4624227.60167743, 4624224.77307445, 4624221.28534375, 4624217.17273448, 4624212.4754814, 4624211.19525044, 4624211.81009567, 4624211.78522258, 4624211.12103197, 4624209.82306291, 4624207.90241636, 
4624201.02117028, 4624198.35050332, 4624195.01658084, 4624191.04568107, 4624186.46843338, 4624181.32055792, 4624175.64197193, 4624169.47692342, 4624162.8732517, 4624155.88237659, 4624148.55870447, 4624140.95895121, 4624133.14243657, 4624126.81112309, 4624120.03884855, 4624112.8800217, 4624105.39217696, 4624097.63530061, 4624089.67161308, 4624081.56510749, 4624073.38074001, 4624065.1842746, 4624057.04131265, 4624049.01745146, 4624041.17678769, 4624033.58236799, 4624026.29507735, 4624019.3734924, 4624012.87313735, 
4624006.84596961, 4624001.3406094, 4623998.88609252, 4623991.15935455, 4623983.5115479, 4623975.95645357, 4623968.54750515, 4623961.33695463, 4623951.95645417, 4623945.7058425, 4623939.70799365, 4623934.00158049, 4623928.6236025, 4623923.60900289, 4623915.96196731, 4623908.57742459, 4623901.51460115, 4623894.82967636, 4623888.57615444, 4623882.80397377, 4623877.55906799, 4623872.883519, 4623868.8147418, 4623865.38489995, 4623862.62164846, 4623860.54703828, 4623859.17757654, 4623852.71808008, 4623846.69493213, 
4623841.15709185, 4623836.15018208, 4623831.7149312, 4623827.88770032, 4623824.69989886, 4623817.94165748, 4623814.9020984, 4623812.54356942, 4623810.61019866, 4623809.11167041, 4623808.05535371, 4623805.86237547, 4623805.17815323, 4623805.17072757, 4623805.84014651, 4623807.18147397, 4623809.18495051, 4623811.83547149, 4623815.1135597, 4623818.99501077, 4623823.45102903, 4623829.92495108, 4623834.1401527, 4623838.7558665, 4623843.7423264, 4623849.06786236, 4623848.85452515, 4623849.34021335, 4623850.52103462, 
4623852.38707857, 4623854.923164, 4623858.10840667, 4623857.37194887, 4623857.30060392, 4623857.89511439, 4623859.14945545, 4623863.5326269, 4623865.50665434, 4623868.19402555, 4623871.57313273, 4623875.61644621, 4623880.29104296, 4623885.55898841, 4623891.37755976, 4623897.69940788, 4623904.47315592, 4623911.64384904, 4623923.81349912, 4623943.43094265, 4623959.84373841, 4623967.10302835, 4623974.73138539, 4623982.66383719, 4623990.83252834, 4623999.16790862, 4624007.59888404, 4624031.15154899, 
4624047.08576132, 4624052.58621479, 4624073.76844508, 4624081.60126457, 4624089.22764124, 4624096.58804902, 4624103.62542229, 4624110.28462955, 4624116.51380166, 4624122.2644892, 4624127.49194582, 4624139.72953796, 4624147.65010902, 4624155.37259859, 4624162.83250197, 4624169.9668886, 4624176.71618214, 4624183.02341745, 4624188.83594073, 4624194.98312747, 4624201.59374559, 4624207.77013323, 4624213.46303157, 4624218.62689024, 4624223.22031029, 4624227.20655405, 4624230.55384258, 4624233.23526926, 
4624235.22931612, 4624236.52029474, 4624238.76428192, 4624239.433555, 4624239.3837679, 4624238.43379482, 4624236.15748238, 4624240.22480983, 4624244.07450832, 4624245.46157846, 4624246.32118188, 4624246.64862493, 4624246.44166869, 4624245.70179697), c(396292.076730327, 396305.026430277, 396307.886447081, 396304.990247148, 396303.796522963, 396280.928475492, 396267.71538871, 396254.90941635, 396244.720484503, 396239.129934866, 396230.491217304, 396222.614762579, 396211.409733655, 396202.18611115, 
396195.199052426, 396183.409097599, 396174.490034008, 396167.883531443, 396154.823809558, 396138.993614623, 396126.619051219, 396114.498084553, 396111.524619578, 396105.959604836, 396100.598658151, 396100.1419896, 396091.427112052, 396082.025924953, 396056.006859543, 396037.610420359, 396034.738399075, 396032.375153761, 396024.676343213, 396017.33276633, 396017.84015765, 395998.666913309, 395979.980291897, 395972.908526493, 395968.162759066, 395963.765940054, 395981.993000503, 396001.574172186, 396026.115563119, 
396043.842118444, 396069.279474182, 396086.078015122, 396092.99001294, 396114.844417704, 396131.451132963, 396160.888445757, 396177.174289683, 396189.523939923, 396192.08302816, 396189.746138016, 396185.432977066, 396177.149467729, 396166.502520862, 396177.201711933, 396197.167827247, 396205.904089109, 396210.352799278, 396211.921482326, 396229.616108523, 396246.861930421, 396260.460717568, 396263.181089071, 396286.251085386, 396289.035302475, 396285.196629347, 396292.076730327, 4624069.66331191, 
4624069.46737879, 4624089.02918753, 4624101.57005136, 4624113.32080615, 4624120.20191068, 4624113.06399312, 4624120.2515512, 4624124.1510801, 4624114.71952029, 4624122.8758307, 4624133.58120216, 4624143.34320723, 4624143.06233957, 4624152.11091069, 4624153.43584183, 4624143.06109565, 4624139.49213072, 4624155.09140499, 4624151.24160533, 4624144.12929746, 4624128.60542338, 4624115.88578674, 4624105.61316277, 4624116.39510613, 4624131.53607696, 4624142.21589832, 4624147.82325371, 4624147.87295246, 
4624145.62897227, 4624129.54474112, 4624124.42119718, 4624129.23841693, 4624122.27931889, 4624105.45602097, 4624091.47594805, 4624080.30493974, 4624069.48740782, 4624055.11126124, 4624033.92900822, 4624013.57270977, 4623995.0850111, 4623987.35049981, 4623995.31172802, 4623992.90562476, 4623996.59768292, 4624012.7113233, 4624023.97883251, 4624034.0263555, 4624039.16348199, 4624024.81637452, 4624000.80753427, 4623986.04244616, 4623958.40581291, 4623947.22310713, 4623943.60321998, 4623934.85969606, 
4623918.79606296, 4623922.58456195, 4623948.29563675, 4623975.99668137, 4623994.06807534, 4624003.0884323, 4623991.95127633, 4623996.60619303, 4624011.53200492, 4624017.53549103, 4624030.3428618, 4624052.49035704, 4624069.66331191)))"
